Gene stable ID,Gene stable ID version,Gene type
ENSG00000130856,ENSG00000130856.16,protein_coding
ENSG00000130653,ENSG00000130653.16,protein_coding
ENSG00000107863,ENSG00000107863.18,protein_coding
ENSG00000140931,ENSG00000140931.20,protein_coding
ENSG00000196387,ENSG00000196387.9,protein_coding
ENSG00000261701,ENSG00000261701.7,protein_coding
ENSG00000180834,ENSG00000180834.7,protein_coding
ENSG00000172939,ENSG00000172939.9,protein_coding
ENSG00000175193,ENSG00000175193.13,protein_coding
ENSG00000214029,ENSG00000214029.5,protein_coding
ENSG00000182154,ENSG00000182154.8,protein_coding
ENSG00000259075,ENSG00000259075.6,protein_coding
ENSG00000153767,ENSG00000153767.10,protein_coding
ENSG00000257594,ENSG00000257594.4,protein_coding
ENSG00000092068,ENSG00000092068.20,protein_coding
ENSG00000139323,ENSG00000139323.14,protein_coding
ENSG00000135404,ENSG00000135404.11,protein_coding
ENSG00000162757,ENSG00000162757.4,protein_coding
ENSG00000144840,ENSG00000144840.9,protein_coding
ENSG00000169884,ENSG00000169884.14,protein_coding
ENSG00000148153,ENSG00000148153.14,protein_coding
ENSG00000160801,ENSG00000160801.14,protein_coding
ENSG00000148942,ENSG00000148942.15,protein_coding
ENSG00000256825,ENSG00000256825.4,protein_coding
ENSG00000115896,ENSG00000115896.16,protein_coding
ENSG00000256223,ENSG00000256223.6,protein_coding
ENSG00000283765,ENSG00000283765.1,protein_coding
ENSG00000259803,ENSG00000259803.7,protein_coding
ENSG00000104687,ENSG00000104687.14,protein_coding
ENSG00000106804,ENSG00000106804.7,protein_coding
ENSG00000187118,ENSG00000187118.13,protein_coding
ENSG00000089053,ENSG00000089053.13,protein_coding
ENSG00000176971,ENSG00000176971.3,protein_coding
ENSG00000090612,ENSG00000090612.21,protein_coding
ENSG00000159720,ENSG00000159720.12,protein_coding
ENSG00000228075,ENSG00000228075.5,protein_coding
ENSG00000140479,ENSG00000140479.17,protein_coding
ENSG00000177511,ENSG00000177511.6,protein_coding
ENSG00000144642,ENSG00000144642.21,protein_coding
ENSG00000074964,ENSG00000074964.17,protein_coding
ENSG00000145087,ENSG00000145087.12,protein_coding
ENSG00000196092,ENSG00000196092.14,protein_coding
ENSG00000185905,ENSG00000185905.4,protein_coding
ENSG00000100664,ENSG00000100664.11,protein_coding
ENSG00000125084,ENSG00000125084.11,protein_coding
ENSG00000182898,ENSG00000182898.4,protein_coding
ENSG00000144867,ENSG00000144867.11,protein_coding
ENSG00000264343,ENSG00000264343.6,protein_coding
ENSG00000135476,ENSG00000135476.11,protein_coding
ENSG00000159450,ENSG00000159450.12,protein_coding
ENSG00000160808,ENSG00000160808.10,protein_coding
ENSG00000271425,ENSG00000271425.8,protein_coding
ENSG00000174992,ENSG00000174992.7,protein_coding
ENSG00000152092,ENSG00000152092.16,protein_coding
ENSG00000154917,ENSG00000154917.11,protein_coding
ENSG00000227059,ENSG00000227059.6,protein_coding
ENSG00000129151,ENSG00000129151.9,protein_coding
ENSG00000143536,ENSG00000143536.7,protein_coding
ENSG00000177614,ENSG00000177614.11,protein_coding
ENSG00000091513,ENSG00000091513.16,protein_coding
ENSG00000197915,ENSG00000197915.6,protein_coding
ENSG00000143520,ENSG00000143520.6,protein_coding
ENSG00000143631,ENSG00000143631.10,protein_coding
ENSG00000188234,ENSG00000188234.13,protein_coding
ENSG00000167548,ENSG00000167548.15,protein_coding
ENSG00000077522,ENSG00000077522.13,protein_coding
ENSG00000119547,ENSG00000119547.6,protein_coding
ENSG00000148399,ENSG00000148399.13,protein_coding
ENSG00000228435,ENSG00000228435.2,protein_coding
ENSG00000145113,ENSG00000145113.22,protein_coding
ENSG00000215853,ENSG00000215853.3,protein_coding
ENSG00000118702,ENSG00000118702.9,protein_coding
ENSG00000163781,ENSG00000163781.13,protein_coding
ENSG00000137675,ENSG00000137675.4,protein_coding
ENSG00000174844,ENSG00000174844.14,protein_coding
ENSG00000196453,ENSG00000196453.8,protein_coding
ENSG00000162783,ENSG00000162783.10,protein_coding
ENSG00000198892,ENSG00000198892.6,protein_coding
ENSG00000181929,ENSG00000181929.12,protein_coding
ENSG00000111405,ENSG00000111405.9,protein_coding
ENSG00000128595,ENSG00000128595.17,protein_coding
ENSG00000181220,ENSG00000181220.17,protein_coding
ENSG00000144655,ENSG00000144655.15,protein_coding
